"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"17.03.2020","7,0079","6,9951","7,0249","6,9869","0,21%"
"16.03.2020","6,9934","7,0016","7,0251","6,9896","-0,22%"
"13.03.2020","7,0086","7,0299","7,0379","6,9773","-0,30%"
"12.03.2020","7,0294","6,9611","7,0373","6,9611","0,99%"
"11.03.2020","6,9605","6,9584","6,9656","6,9442","0,06%"
"10.03.2020","6,9564","6,9400","6,9612","6,9284","0,14%"
"09.03.2020","6,9466","6,9108","6,9550","6,9108","0,21%"
"06.03.2020","6,9321","6,9441","6,9601","6,9261","-0,07%"
"05.03.2020","6,9373","6,9378","6,9444","6,9295","0,16%"
"04.03.2020","6,9262","6,9422","6,9523","6,9215","-0,51%"
"03.03.2020","6,9620","6,9605","6,9873","6,9595","0,01%"
"02.03.2020","6,9610","6,9740","6,9778","6,9516","-0,44%"
"28.02.2020","6,9920","7,0033","7,0133","6,9797","-0,18%"
"27.02.2020","7,0045","7,0155","7,0222","7,0008","-0,26%"
"26.02.2020","7,0225","7,0126","7,0260","7,0126","0,13%"
"25.02.2020","7,0135","7,0110","7,0197","7,0080","-0,23%"
"24.02.2020","7,0294","7,0385","7,0406","7,0237","0,03%"
"21.02.2020","7,0271","7,0296","7,0442","7,0263","0,06%"
"20.02.2020","7,0229","7,0075","7,0262","7,0027","0,35%"
"19.02.2020","6,9982","7,0058","7,0133","6,9893","0,01%"
"18.02.2020","6,9972","6,9854","7,0088","6,9854","0,23%"
"17.02.2020","6,9813","6,9806","6,9832","6,9718","-0,08%"
"14.02.2020","6,9869","6,9734","6,9879","6,9734","0,14%"
"13.02.2020","6,9770","6,9736","6,9862","6,9724","0,07%"
"12.02.2020","6,9719","6,9672","6,9771","6,9592","0,08%"
"11.02.2020","6,9660","6,9834","6,9834","6,9595","-0,26%"
"10.02.2020","6,9844","7,0001","7,0038","6,9772","-0,24%"
"07.02.2020","7,0015","6,9776","7,0020","6,9759","0,44%"
"06.02.2020","6,9707","6,9749","6,9829","6,9563","-0,04%"
"05.02.2020","6,9738","6,9978","7,0088","6,9668","-0,35%"
"04.02.2020","6,9985","7,0213","7,0213","6,9871","-0,33%"
"03.02.2020","7,0215","6,9371","7,0256","6,9371","1,22%"
"31.01.2020","6,9367","6,9367","6,9367","6,9367","0,00%"
"30.01.2020","6,9367","6,9367","6,9367","6,9367","0,00%"
"29.01.2020","6,9367","6,9367","6,9367","6,9367","0,00%"
"28.01.2020","6,9367","6,9367","6,9367","6,9367","0,00%"
"27.01.2020","6,9367","6,9367","6,9367","6,9367","0,00%"
"24.01.2020","6,9367","6,9367","6,9367","6,9367","0,00%"
"23.01.2020","6,9367","6,9060","6,9367","6,9060","0,44%"
"22.01.2020","6,9066","6,9104","6,9196","6,8986","0,01%"
"21.01.2020","6,9059","6,8773","6,9097","6,8765","0,57%"
"20.01.2020","6,8669","6,8594","6,8670","6,8403","0,10%"
"17.01.2020","6,8598","6,8757","6,8792","6,8525","-0,28%"
"16.01.2020","6,8789","6,8849","6,8939","6,8762","-0,17%"
"15.01.2020","6,8909","6,8938","6,8989","6,8837","0,10%"
"14.01.2020","6,8841","6,8759","6,8895","6,8654","-0,14%"
"13.01.2020","6,8937","6,9121","6,9157","6,8849","-0,37%"
"10.01.2020","6,9192","6,9318","6,9398","6,9170","-0,18%"
"09.01.2020","6,9318","6,9319","6,9362","6,9210","-0,21%"
"08.01.2020","6,9462","6,9543","6,9556","6,9373","0,01%"
"07.01.2020","6,9452","6,9679","6,9711","6,9290","-0,44%"
"06.01.2020","6,9760","6,9686","6,9797","6,9683","0,15%"
"03.01.2020","6,9655","6,9616","6,9759","6,9616","0,02%"
"02.01.2020","6,9643","6,9597","6,9741","6,9569","0,02%"
"01.01.2020","6,9632","6,9632","6,9657","6,9632","0,00%"
"31.12.2019","6,9632","6,9832","6,9870","6,9556","-0,34%"
"30.12.2019","6,9867","6,9958","6,9958","6,9783","-0,13%"
"27.12.2019","6,9958","6,9932","7,0015","6,9916","-0,01%"
"26.12.2019","6,9965","6,9891","7,0069","6,9880","0,10%"
"25.12.2019","6,9894","7,0064","7,0064","6,9788","-0,26%"
"24.12.2019","7,0075","7,0131","7,0151","7,0031","-0,07%"
"23.12.2019","7,0127","7,0073","7,0142","7,0062","0,08%"
"20.12.2019","7,0068","7,0102","7,0160","7,0030","-0,05%"
"19.12.2019","7,0104","7,0006","7,0106","6,9971","0,08%"
"18.12.2019","7,0050","7,0019","7,0129","6,9958","0,11%"
"17.12.2019","6,9972","6,9954","7,0030","6,9910","0,05%"
"16.12.2019","6,9935","6,9996","7,0084","6,9930","0,06%"
"13.12.2019","6,9895","6,9641","7,0022","6,9636","0,07%"
"12.12.2019","6,9849","7,0339","7,0408","6,9839","-0,77%"
"11.12.2019","7,0388","7,0354","7,0408","7,0335","0,07%"
"10.12.2019","7,0342","7,0392","7,0426","7,0313","-0,07%"
"09.12.2019","7,0393","7,0334","7,0434","7,0297","0,06%"
"06.12.2019","7,0350","7,0415","7,0499","7,0263","-0,14%"
"05.12.2019","7,0448","7,0503","7,0569","7,0352","-0,07%"
"04.12.2019","7,0499","7,0619","7,0744","7,0469","-0,16%"
"03.12.2019","7,0613","7,0407","7,0614","7,0362","0,31%"
"02.12.2019","7,0393","7,0268","7,0459","7,0266","0,10%"
"29.11.2019","7,0324","7,0327","7,0370","7,0191","-0,04%"
"28.11.2019","7,0354","7,0294","7,0357","7,0254","0,09%"
"27.11.2019","7,0290","7,0245","7,0319","7,0177","-0,06%"
"26.11.2019","7,0335","7,0289","7,0430","7,0259","-0,04%"
"25.11.2019","7,0363","7,0404","7,0404","7,0315","-0,05%"
"22.11.2019","7,0400","7,0262","7,0428","7,0249","0,15%"
"21.11.2019","7,0293","7,0351","7,0451","7,0259","-0,09%"
"20.11.2019","7,0359","7,0317","7,0394","7,0279","0,12%"
"19.11.2019","7,0276","7,0259","7,0303","7,0202","0,02%"
"18.11.2019","7,0260","7,0089","7,0268","7,0089","0,25%"
"15.11.2019","7,0083","7,0201","7,0201","6,9992","-0,18%"
"14.11.2019","7,0208","7,0240","7,0252","7,0143","-0,04%"
"13.11.2019","7,0235","7,0076","7,0273","7,0076","0,22%"
"12.11.2019","7,0079","7,0111","7,0111","6,9962","-0,04%"
"11.11.2019","7,0106","6,9962","7,0122","6,9917","0,21%"
"08.11.2019","6,9961","6,9691","6,9967","6,9676","0,25%"
"07.11.2019","6,9784","6,9985","7,0208","6,9689","-0,28%"
"06.11.2019","6,9981","6,9970","7,0052","6,9909","-0,17%"
"05.11.2019","7,0097","7,0296","7,0316","6,9891","-0,29%"
"04.11.2019","7,0304","7,0328","7,0343","7,0225","-0,10%"
"01.11.2019","7,0375","7,0387","7,0495","7,0347","-0,03%"
"31.10.2019","7,0395","7,0447","7,0507","7,0324","-0,22%"
"30.10.2019","7,0553","7,0652","7,0682","7,0540","-0,15%"
"29.10.2019","7,0658","7,0672","7,0672","7,0526","-0,03%"
"28.10.2019","7,0678","7,0655","7,0693","7,0525","0,04%"
"25.10.2019","7,0653","7,0697","7,0766","7,0624","-0,05%"
"24.10.2019","7,0690","7,0664","7,0732","7,0560","0,05%"
"23.10.2019","7,0656","7,0786","7,0895","7,0655","-0,16%"
"22.10.2019","7,0769","7,0756","7,0840","7,0705","0,01%"
"21.10.2019","7,0762","7,0819","7,0819","7,0662","-0,08%"
"18.10.2019","7,0817","7,0742","7,0885","7,0668","0,06%"
"17.10.2019","7,0774","7,0959","7,1016","7,0643","-0,23%"
"16.10.2019","7,0935","7,0965","7,1045","7,0896","0,17%"
"15.10.2019","7,0818","7,0663","7,0834","7,0629","0,20%"
"14.10.2019","7,0675","7,0908","7,0910","7,0505","-0,29%"
"11.10.2019","7,0880","7,1155","7,1155","7,0872","-0,40%"
"10.10.2019","7,1162","7,1314","7,1314","7,1024","-0,23%"
"09.10.2019","7,1324","7,1430","7,1523","7,1190","-0,17%"
"08.10.2019","7,1444","7,1324","7,1503","7,1214","-0,05%"
"07.10.2019","7,1483","7,1483","7,1483","7,1483","0,00%"
"04.10.2019","7,1483","7,1483","7,1483","7,1483","0,00%"
"03.10.2019","7,1483","7,1483","7,1483","7,1483","0,00%"
"02.10.2019","7,1483","7,1483","7,1483","7,1483","0,00%"
"01.10.2019","7,1483","7,1483","7,1483","7,1483","0,00%"
"30.09.2019","7,1483","7,1303","7,1483","7,1174","0,36%"
"27.09.2019","7,1227","7,1315","7,1388","7,1190","-0,14%"
"26.09.2019","7,1326","7,1290","7,1375","7,1243","0,01%"
"25.09.2019","7,1318","7,1154","7,1344","7,1075","0,22%"
"24.09.2019","7,1164","7,1184","7,1235","7,1039","-0,03%"
"23.09.2019","7,1185","7,0908","7,1300","7,0908","0,38%"
